id_starname,pimen
teff,5980
teff_err,130
logg,4.38
logg_err,0.01
feh,0.07
feh_err,0.07
lum,-99
lum_err,0
gmag,-99
gmag_err,0
rmag,-99
rmag_err,0
imag,-99
imag_err,0
zmag,-99
zmag_err,0
jmag,-99
jmag_err,0
hmag,-99
hmag_err,0
kmag,-99
kmag_err,0
gamag,-99
gamag_err,0
bpmag,-99
bpmag_err,0
rpmag,-99
rpmag_err,0
parallax,0.054683
parallax_err,3.5e-05
bmag,-99
bmag_err,0
vmag,-99
vmag_err,0
btmag,-99
btmag_err,0
vtmag,5.721
vtmag_err,0.009000000000000001
numax,-99
numax_err,0
dnu,-99
dnu_err,0
dmag,-99.0
dmag_err,-99.0
ra,84.287
dec,-80.47
band,vtmag
dir_dis,18.287204872048722
dir_dis_err1,0.011588115881160377
dir_dis_err2,-0.011602116021158793
dir_avs,0.0
dir_avs_err1,0.0
dir_avs_err2,-0.0
dir_rad,1.1213441534729385
dir_rad_err1,0.05229254327275057
dir_rad_err2,-0.04931901744024114
dir_lum,1.4440215867284403
dir_lum_err1,0.04013691419730714
dir_lum_err2,-0.03865465283437497
dir_teff,5980
dir_teff_err1,130
dir_teff_err2,-130
dir_mabs,4.41030452272681
dir_mabs_err1,0.0294598863001152
dir_mabs_err2,-0.02976649599422032
dir_mass,0.0
dir_mass_err1,0.0
dir_mass_err2,-0.0
dir_rho,0.0
dir_rho_err1,0.0
dir_rho_err2,-0.0
dir_fbol,1.3814969038627393e-07
dir_fbol_err1,3.8263583198136465e-09
dir_fbol_err2,-3.696205010367562e-09
